,Country,Region,Happiness Rank,Happiness Score,Economy,Health,Freedom,Trust,Generosity,year
252,North Macedonia,Central and Eastern Europe,95.0,5.121,1.0193,0.64738,0.27668,0.07047,0.23507,2016.0
253,Vietnam,Southeast Asia,96.0,5.061,0.74037,0.66157,0.55954,0.11556,0.25075,2016.0
254,Somaliland Region,Sub-Saharan Africa,97.0,5.057,0.25558,0.33108,0.3913,0.36794,0.51479,2016.0
255,Tunisia,Middle East and North Africa,98.0,5.045,0.97724,0.59577,0.23553,0.0817,0.03936,2016.0
256,Greece,Western Europe,99.0,5.033,1.24886,0.80029,0.05822,0.04127,0.0,2016.0
257,Tajikistan,Commonwealth of Independent States,100.0,4.996,0.48835,0.53119,0.43408,0.13509,0.25998,2016.0
258,Mongolia,East Asia,101.0,4.907,0.98853,0.55469,0.35972,0.03285,0.34539,2016.0
259,Laos,Southeast Asia,102.0,4.876,0.68042,0.38291,0.52168,0.22423,0.43079,2016.0
260,Nigeria,Sub-Saharan Africa,103.0,4.875,0.75216,0.05108,0.27854,0.0305,0.23219,2016.0
261,Honduras,Latin America and Caribbean,104.0,4.871,0.69429,0.58383,0.26755,0.06906,0.2044,2016.0
262,Iran,Middle East and North Africa,105.0,4.813,1.11758,0.64232,0.22544,0.0557,0.38538,2016.0
263,Zambia,Sub-Saharan Africa,106.0,4.795,0.61202,0.23573,0.42662,0.11479,0.17866,2016.0
264,Nepal,South Asia,107.0,4.793,0.44626,0.50073,0.37012,0.07008,0.3816,2016.0
265,Palestinian Territories,Middle East and North Africa,108.0,4.754,0.67024,0.56844,0.17744,0.10613,0.11154,2016.0
266,Albania,Central and Eastern Europe,109.0,4.655,0.9553,0.73007,0.31866,0.05301,0.1684,2016.0
267,Bangladesh,South Asia,110.0,4.643,0.54177,0.52989,0.39778,0.12583,0.19132,2016.0
268,Sierra Leone,Sub-Saharan Africa,111.0,4.635,0.36485,0.0,0.30685,0.08196,0.23897,2016.0
269,Iraq,Middle East and North Africa,112.0,4.575,1.07474,0.51076,0.24856,0.13636,0.19589,2016.0
270,Namibia,Sub-Saharan Africa,113.0,4.574,0.93287,0.34745,0.48614,0.10398,0.07795,2016.0
271,Cameroon,Sub-Saharan Africa,114.0,4.513,0.52497,0.12698,0.42736,0.06126,0.2268,2016.0
272,Ethiopia,Sub-Saharan Africa,115.0,4.508,0.29283,0.34578,0.36703,0.1717,0.29522,2016.0
273,South Africa,Sub-Saharan Africa,116.0,4.459,1.02416,0.18611,0.42483,0.08415,0.13656,2016.0
274,Sri Lanka,South Asia,117.0,4.415,0.97318,0.62007,0.50817,0.07964,0.46978,2016.0
275,India,South Asia,118.0,4.404,0.74036,0.45091,0.40285,0.08722,0.25028,2016.0
276,Myanmar,Southeast Asia,119.0,4.395,0.34112,0.3988,0.42692,0.20243,0.81971,2016.0
277,Egypt,Middle East and North Africa,120.0,4.362,0.95395,0.52116,0.18847,0.10393,0.12706,2016.0
278,Armenia,Commonwealth of Independent States,121.0,4.36,0.86086,0.64083,0.14037,0.03616,0.07793,2016.0
279,Kenya,Sub-Saharan Africa,122.0,4.356,0.52267,0.30147,0.40576,0.06686,0.41328,2016.0
280,Ukraine,Commonwealth of Independent States,123.0,4.324,0.87287,0.58628,0.12859,0.01829,0.20363,2016.0
281,Ghana,Sub-Saharan Africa,124.0,4.276,0.63107,0.29681,0.40973,0.0326,0.21203,2016.0
282,Congo (Kinshasa),Sub-Saharan Africa,125.0,4.272,0.05661,0.188,0.15602,0.06075,0.25458,2016.0
283,Georgia,Commonwealth of Independent States,126.0,4.252,0.83792,0.64035,0.32461,0.3188,0.06786,2016.0
284,Congo (Brazzaville),Sub-Saharan Africa,127.0,4.236,0.77109,0.28212,0.37938,0.09753,0.12077,2016.0
285,Senegal,Sub-Saharan Africa,128.0,4.219,0.44314,0.40457,0.31056,0.11681,0.19103,2016.0
286,Bulgaria,Central and Eastern Europe,129.0,4.217,1.11306,0.67806,0.21219,0.00615,0.12793,2016.0
287,Mauritania,Sub-Saharan Africa,130.0,4.201,0.61391,0.28639,0.1268,0.17955,0.22686,2016.0
288,Zimbabwe,Sub-Saharan Africa,131.0,4.193,0.35041,0.1595,0.25429,0.08582,0.18503,2016.0
289,Malawi,Sub-Saharan Africa,132.0,4.156,0.08709,0.29364,0.4143,0.07564,0.30968,2016.0
290,Sudan,Sub-Saharan Africa,133.0,4.139,0.63069,0.29759,0.0,0.10039,0.18077,2016.0
291,Gabon,Sub-Saharan Africa,134.0,4.121,1.15851,0.3494,0.28098,0.09314,0.06244,2016.0
292,Mali,Sub-Saharan Africa,135.0,4.073,0.31292,0.16347,0.27544,0.13647,0.21064,2016.0
293,Haiti,Latin America and Caribbean,136.0,4.028,0.34097,0.27494,0.12072,0.14476,0.47958,2016.0
294,Botswana,Sub-Saharan Africa,137.0,3.974,1.09426,0.34752,0.44089,0.10769,0.12425,2016.0
295,Comoros,Sub-Saharan Africa,138.0,3.956,0.27509,0.29981,0.15412,0.18437,0.1827,2016.0
296,Ivory Coast,Sub-Saharan Africa,139.0,3.916,0.55507,0.04476,0.40663,0.1553,0.20338,2016.0
297,Cambodia,Southeast Asia,140.0,3.907,0.55604,0.42494,0.58852,0.08092,0.40339,2016.0
298,Angola,Sub-Saharan Africa,141.0,3.866,0.84731,0.04991,0.00589,0.08434,0.12071,2016.0
299,Niger,Sub-Saharan Africa,142.0,3.856,0.1327,0.26162,0.38041,0.17176,0.2097,2016.0
300,South Sudan,Sub-Saharan Africa,143.0,3.832,0.39394,0.15781,0.19662,0.13015,0.25899,2016.0
301,Chad,Sub-Saharan Africa,144.0,3.763,0.42214,0.03824,0.12807,0.04952,0.18667,2016.0
302,Burkina Faso,Sub-Saharan Africa,145.0,3.739,0.31995,0.21297,0.3337,0.12533,0.24353,2016.0
303,Uganda,Sub-Saharan Africa,145.0,3.739,0.34719,0.19625,0.43653,0.06442,0.27102,2016.0
304,Yemen,Middle East and North Africa,147.0,3.724,0.57939,0.31048,0.2287,0.05892,0.09821,2016.0
305,Madagascar,Sub-Saharan Africa,148.0,3.695,0.27954,0.37109,0.13684,0.07506,0.2204,2016.0
306,Tanzania,Sub-Saharan Africa,149.0,3.666,0.47155,0.357,0.3176,0.05099,0.31472,2016.0
307,Liberia,Sub-Saharan Africa,150.0,3.622,0.10706,0.23165,0.25748,0.04852,0.24063,2016.0
308,Guinea,Sub-Saharan Africa,151.0,3.607,0.22415,0.18829,0.30953,0.1192,0.29914,2016.0
309,Rwanda,Sub-Saharan Africa,152.0,3.515,0.32846,0.31865,0.5432,0.50521,0.23552,2016.0
310,Benin,Sub-Saharan Africa,153.0,3.484,0.39499,0.21028,0.39747,0.06681,0.2018,2016.0
311,Afghanistan,South Asia,154.0,3.36,0.38227,0.17344,0.1643,0.07112,0.31268,2016.0
312,Togo,Sub-Saharan Africa,155.0,3.303,0.28123,0.24811,0.34678,0.11587,0.17517,2016.0
313,Syria,Middle East and North Africa,156.0,3.069,0.74719,0.62994,0.06912,0.17233,0.48397,2016.0
314,Burundi,Sub-Saharan Africa,157.0,2.905,0.06831,0.15747,0.0432,0.09419,0.2029,2016.0
315,Norway,Western Europe,1.0,7.53700017929077,1.61646318435669,0.796666502952576,0.635422587394714,0.315963834524155,0.36201223731041,2017.0
316,Denmark,Western Europe,2.0,7.52199983596802,1.48238301277161,0.792565524578094,0.626006722450256,0.40077006816864,0.355280488729477,2017.0
317,Iceland,Western Europe,3.0,7.50400018692017,1.480633020401,0.833552122116089,0.627162635326385,0.153526559472084,0.475540220737457,2017.0
318,Switzerland,Western Europe,4.0,7.49399995803833,1.56497955322266,0.858131289482117,0.620070576667786,0.367007285356522,0.290549278259277,2017.0
319,Finland,Western Europe,5.0,7.4689998626709,1.44357192516327,0.80915766954422,0.617950856685638,0.38261154294014,0.24548277258873,2017.0
320,Netherlands,Western Europe,6.0,7.3769998550415,1.50394463539124,0.810696125030518,0.585384488105774,0.282661825418472,0.470489829778671,2017.0
321,Canada,North America,7.0,7.31599998474121,1.47920441627502,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,2017.0
322,New Zealand,Oceania,8.0,7.31400012969971,1.40570604801178,0.816759705543518,0.614062130451202,0.382816702127457,0.500005125999451,2017.0
323,Sweden,Western Europe,9.0,7.28399991989136,1.49438726902008,0.830875158309937,0.612924098968506,0.384398728609085,0.385399252176285,2017.0
324,Australia,Oceania,10.0,7.28399991989136,1.484414935112,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,2017.0
325,Israel,Middle East and North Africa,11.0,7.21299982070923,1.37538242340088,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,2017.0
326,Costa Rica,Latin America and Caribbean,12.0,7.0789999961853,1.10970628261566,0.759509265422821,0.580131649971008,0.100106589496136,0.214613229036331,2017.0
327,Austria,Western Europe,13.0,7.00600004196167,1.48709726333618,0.815328419208527,0.567766189575195,0.221060365438461,0.316472321748734,2017.0
328,United States,North America,14.0,6.99300003051758,1.54625928401947,0.77428662776947,0.505740523338318,0.135638788342476,0.392578780651093,2017.0
329,Ireland,Western Europe,15.0,6.97700023651123,1.53570663928986,0.80978262424469,0.573110342025757,0.29838815331459,0.42785832285881,2017.0
330,Germany,Western Europe,16.0,6.95100021362305,1.48792338371277,0.798950731754303,0.562511384487152,0.276731938123703,0.336269170045853,2017.0
331,Belgium,Western Europe,17.0,6.89099979400635,1.46378076076508,0.818091869354248,0.539770722389221,0.251343131065369,0.231503337621689,2017.0
332,Luxembourg,Western Europe,18.0,6.86299991607666,1.74194359779358,0.845089495182037,0.59662789106369,0.31883442401886,0.283180981874466,2017.0
333,United Kingdom,Western Europe,19.0,6.71400022506714,1.44163393974304,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202,2017.0
334,Chile,Latin America and Caribbean,20.0,6.65199995040894,1.25278460979462,0.819479703903198,0.376895278692245,0.0822879821062088,0.326662421226501,2017.0
335,United Arab Emirates,Middle East and North Africa,21.0,6.64799976348877,1.62634336948395,0.726798236370087,0.60834527015686,0.324489563703537,0.3609419465065,2017.0
336,Brazil,Latin America and Caribbean,22.0,6.63500022888184,1.10735321044922,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,2017.0
337,Czechia,Central and Eastern Europe,23.0,6.60900020599365,1.35268235206604,0.754444003105164,0.490946173667908,0.0368729270994663,0.0881067588925362,2017.0
338,Argentina,Latin America and Caribbean,24.0,6.59899997711182,1.18529546260834,0.695137083530426,0.494519203901291,0.059739887714386,0.109457060694695,2017.0
339,Mexico,Latin America and Caribbean,25.0,6.57800006866455,1.15318381786346,0.709978997707367,0.412730008363724,0.132774114608765,0.120990432798862,2017.0
340,Singapore,Southeast Asia,26.0,6.57200002670288,1.69227766990662,0.949492394924164,0.549840569496155,0.46430778503418,0.345965981483459,2017.0
341,Malta,Western Europe,27.0,6.52699995040894,1.34327983856201,0.821944236755371,0.588767051696777,0.153066068887711,0.574730575084686,2017.0
342,Uruguay,Latin America and Caribbean,28.0,6.4539999961853,1.21755969524384,0.719216823577881,0.57939225435257,0.178061872720718,0.175096929073334,2017.0
343,Guatemala,Latin America and Caribbean,29.0,6.4539999961853,0.872001945972443,0.540239989757538,0.531310617923737,0.0772232785820961,0.283488392829895,2017.0
344,Panama,Latin America and Caribbean,30.0,6.4520001411438,1.23374843597412,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427,2017.0
345,France,Western Europe,31.0,6.44199991226196,1.43092346191406,0.844465851783752,0.470222115516663,0.172502428293228,0.129762306809425,2017.0
346,Thailand,Southeast Asia,32.0,6.42399978637695,1.12786877155304,0.647239029407501,0.580200731754303,0.0316127352416515,0.572123110294342,2017.0
347,Taiwan,East Asia,33.0,6.42199993133545,1.43362653255463,0.793984234333038,0.361466586589813,0.0638292357325554,0.258360475301743,2017.0
348,Spain,Western Europe,34.0,6.40299987792969,1.38439786434174,0.888960599899292,0.408781230449677,0.0709140971302986,0.190133571624756,2017.0
349,Qatar,Middle East and North Africa,35.0,6.375,1.87076568603516,0.710098087787628,0.604130983352661,0.439299255609512,0.330473870038986,2017.0
350,Colombia,Latin America and Caribbean,36.0,6.35699987411499,1.07062232494354,0.595027923583984,0.477487415075302,0.0466687418520451,0.149014472961426,2017.0
351,Saudi Arabia,Middle East and North Africa,37.0,6.3439998626709,1.53062355518341,0.590148329734802,0.449750572443008,0.27343225479126,0.147616013884544,2017.0
352,Trinidad and Tobago,Latin America and Caribbean,38.0,6.16800022125244,1.36135590076447,0.519983291625977,0.518630743026733,0.0089648161083459,0.325296461582184,2017.0
353,Kuwait,Middle East and North Africa,39.0,6.10500001907349,1.63295245170593,0.632105708122253,0.496337592601776,0.215159550309181,0.228289797902107,2017.0
354,Slovakia,Central and Eastern Europe,40.0,6.09800004959106,1.32539355754852,0.712732911109924,0.295817464590073,0.0242108516395092,0.136544480919838,2017.0
355,Bahrain,Middle East and North Africa,41.0,6.08699989318848,1.48841226100922,0.653133034706116,0.536746919155121,0.257042169570923,0.172668486833572,2017.0
356,Malaysia,Southeast Asia,42.0,6.08400011062622,1.29121541976929,0.618784427642822,0.402264982461929,0.0656007081270218,0.416608929634094,2017.0
357,Nicaragua,Latin America and Caribbean,43.0,6.07100009918213,0.737299203872681,0.653095960617065,0.447551846504211,0.130687981843948,0.301674216985703,2017.0
358,Ecuador,Latin America and Caribbean,44.0,6.00799989700317,1.00082039833069,0.685636222362518,0.4551981985569,0.140134647488594,0.150112465023994,2017.0
359,El Salvador,Latin America and Caribbean,45.0,6.00299978256226,0.909784495830536,0.596018552780151,0.432452529668808,0.0899809598922729,0.0782579854130745,2017.0
360,Poland,Central and Eastern Europe,46.0,5.97300004959106,1.29178786277771,0.699475347995758,0.520342111587524,0.0593078061938286,0.158465966582298,2017.0
361,Uzbekistan,Commonwealth of Independent States,47.0,5.97100019454956,0.786441087722778,0.498272627592087,0.658248662948608,0.246528223156929,0.415983647108078,2017.0
362,Italy,Western Europe,48.0,5.96400022506714,1.39506661891937,0.853144347667694,0.256450712680817,0.0280280914157629,0.17278964817524,2017.0
363,Russia,Commonwealth of Independent States,49.0,5.96299982070923,1.28177809715271,0.547349333763123,0.373783111572266,0.0329628810286522,0.0522638224065304,2017.0
364,Belize,Latin America and Caribbean,50.0,5.95599985122681,0.907975316047668,0.450191766023636,0.547509372234344,0.0965810716152191,0.240015640854836,2017.0
365,Japan,East Asia,51.0,5.92000007629395,1.41691517829895,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,2017.0
366,Lithuania,Central and Eastern Europe,52.0,5.90199995040894,1.31458234786987,0.62894994020462,0.234231784939766,0.0118656428530812,0.010164656676352,2017.0
367,Algeria,Middle East and North Africa,53.0,5.87200021743774,1.09186446666718,0.617584645748138,0.233335807919502,0.146096110343933,0.0694366469979286,2017.0
368,Latvia,Central and Eastern Europe,54.0,5.84999990463257,1.26074862480164,0.638566970825195,0.325707912445068,0.0738427266478539,0.153074786067009,2017.0
369,South Korea,East Asia,55.0,5.83799982070923,1.40167844295502,0.900214076042175,0.257921665906906,0.0632826685905457,0.206674367189407,2017.0
370,Moldova,Commonwealth of Independent States,56.0,5.83799982070923,0.728870630264282,0.589465200901031,0.240729048848152,0.0100912861526012,0.208779126405716,2017.0
371,Romania,Central and Eastern Europe,57.0,5.82499980926514,1.21768391132355,0.685158312320709,0.457003742456436,0.00438790069893,0.133519917726517,2017.0
372,Bolivia,Latin America and Caribbean,58.0,5.82299995422363,0.833756566047668,0.473630249500275,0.558732926845551,0.0604777261614799,0.22556072473526,2017.0
373,Turkmenistan,Commonwealth of Independent States,59.0,5.82200002670288,1.13077676296234,0.437726080417633,0.41827192902565,0.259270340204239,0.24992498755455,2017.0
374,Kazakhstan,Commonwealth of Independent States,60.0,5.81899976730347,1.28455626964569,0.606041550636292,0.437454283237457,0.119282886385918,0.201964423060417,2017.0
375,Northern Cyprus,Western Europe,61.0,5.80999994277954,1.3469113111496,0.834647238254547,0.471203625202179,0.155353352427483,0.266845703125,2017.0
376,Slovenia,Central and Eastern Europe,62.0,5.75799989700317,1.3412059545517,0.790828227996826,0.572575807571411,0.0451289787888527,0.242649093270302,2017.0
377,Peru,Latin America and Caribbean,63.0,5.71500015258789,1.03522527217865,0.630166113376617,0.450002878904343,0.0470490865409374,0.126819714903831,2017.0
378,Mauritius,Sub-Saharan Africa,64.0,5.62900018692017,1.18939554691315,0.638007462024689,0.491247326135635,0.0421815551817417,0.360933750867844,2017.0
379,Cyprus,Western Europe,65.0,5.62099981307983,1.35593807697296,0.84471470117569,0.355111539363861,0.0412379764020443,0.271254301071167,2017.0
380,Estonia,Central and Eastern Europe,66.0,5.61100006103516,1.32087934017181,0.695168316364288,0.479131430387497,0.183248922228813,0.0988908112049103,2017.0
381,Belarus,Commonwealth of Independent States,67.0,5.56899976730347,1.15655755996704,0.637714266777039,0.295400261878967,0.156313821673393,0.15513750910759,2017.0
382,Libya,Middle East and North Africa,68.0,5.52500009536743,1.10180306434631,0.520169019699097,0.465733230113983,0.0926102101802826,0.152073666453362,2017.0
383,Turkey,Middle East and North Africa,69.0,5.5,1.19827437400818,0.637605607509613,0.300740599632263,0.0996715798974037,0.0466930419206619,2017.0
384,Paraguay,Latin America and Caribbean,70.0,5.49300003051758,0.932537317276001,0.579250693321228,0.473507791757584,0.091065913438797,0.224150657653809,2017.0
385,Hong Kong S.A.R. of China,East Asia,71.0,5.47200012207031,1.55167484283447,0.943062424659729,0.490968644618988,0.293933749198914,0.374465793371201,2017.0
386,Philippines,Southeast Asia,72.0,5.42999982833862,0.85769921541214,0.468009054660797,0.585214674472809,0.0993318930268288,0.193513423204422,2017.0
387,Serbia,Central and Eastern Europe,73.0,5.39499998092651,1.06931757926941,0.65078467130661,0.208715528249741,0.0409037806093693,0.220125883817673,2017.0
388,Jordan,Middle East and North Africa,74.0,5.33599996566772,0.991012394428253,0.604590058326721,0.418421149253845,0.11980327218771,0.172170460224152,2017.0
389,Hungary,Central and Eastern Europe,75.0,5.32399988174438,1.2860119342804,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,2017.0
390,Jamaica,Latin America and Caribbean,76.0,5.31099987030029,0.925579309463501,0.641022384166718,0.474307239055634,0.0552677810192108,0.233818337321281,2017.0
391,Croatia,Central and Eastern Europe,77.0,5.29300022125244,1.22255623340607,0.701288521289825,0.255772292613983,0.0431031100451946,0.248002976179123,2017.0
392,Kosovo,Central and Eastern Europe,78.0,5.27899980545044,0.951484382152557,0.541452050209045,0.260287940502167,0.0574716180562973,0.319931447505951,2017.0
393,China,East Asia,79.0,5.27299976348877,1.08116579055786,0.741415500640869,0.472787708044052,0.0227942746132612,0.0288068410009146,2017.0
394,Pakistan,South Asia,80.0,5.26900005340576,0.72688353061676,0.402047783136368,0.23521526157856,0.124348066747189,0.315446019172668,2017.0
395,Indonesia,Southeast Asia,81.0,5.26200008392334,0.995538592338562,0.492345720529556,0.443323463201523,0.0153171354904771,0.611704587936401,2017.0
396,Venezuela,Latin America and Caribbean,82.0,5.25,1.12843120098114,0.617144227027893,0.153997123241425,0.0644911229610443,0.0650196298956871,2017.0
397,Montenegro,Central and Eastern Europe,83.0,5.23699998855591,1.12112903594971,0.667464673519135,0.194989055395126,0.0881741940975189,0.197911024093628,2017.0
398,Morocco,Middle East and North Africa,84.0,5.2350001335144,0.878114581108093,0.59771066904068,0.408158332109451,0.0877631828188896,0.0322099551558495,2017.0
399,Azerbaijan,Commonwealth of Independent States,85.0,5.23400020599365,1.15360176563263,0.540775775909424,0.398155838251114,0.180987507104874,0.0452693402767181,2017.0
400,Dominican Republic,Latin America and Caribbean,86.0,5.23000001907349,1.07937383651733,0.574873745441437,0.55258983373642,0.113945253193378,0.186967849731445,2017.0
401,Greece,Western Europe,87.0,5.22700023651123,1.28948748111725,0.810198903083801,0.0957312509417534,0.04328977689147,0.0,2017.0
402,Lebanon,Middle East and North Africa,88.0,5.22499990463257,1.07498753070831,0.735081076622009,0.288515985012054,0.037513829767704,0.264450758695602,2017.0
403,Portugal,Western Europe,89.0,5.19500017166138,1.3151752948761,0.795843541622162,0.498465299606323,0.0158694516867399,0.0951027125120163,2017.0
404,Bosnia and Herzegovina,Central and Eastern Europe,90.0,5.18200016021729,0.982409417629242,0.705186307430267,0.204403176903725,0.0,0.328867495059967,2017.0
405,Honduras,Latin America and Caribbean,91.0,5.18100023269653,0.730573117733002,0.582569479942322,0.348079860210419,0.0733454525470734,0.236188873648643,2017.0
406,North Macedonia,Central and Eastern Europe,92.0,5.17500019073486,1.06457793712616,0.644948184490204,0.325905978679657,0.0602777935564518,0.25376096367836,2017.0
407,Somalia,Sub-Saharan Africa,93.0,5.15100002288818,0.0226431842893362,0.113989137113094,0.602126955986023,0.282410323619843,0.291631311178207,2017.0
408,Vietnam,Southeast Asia,94.0,5.07399988174438,0.788547575473785,0.652168989181519,0.571055591106415,0.0876332372426987,0.234968051314354,2017.0
409,Nigeria,Sub-Saharan Africa,95.0,5.07399988174438,0.783756256103516,0.0569157302379608,0.394952565431595,0.0261215660721064,0.230947196483612,2017.0
410,Tajikistan,Commonwealth of Independent States,96.0,5.04099988937378,0.524713635444641,0.529235124588013,0.471566706895828,0.146377146244049,0.248997643589973,2017.0
411,Bhutan,South Asia,97.0,5.01100015640259,0.885416388511658,0.495879292488098,0.501537680625916,0.173380389809608,0.474054545164108,2017.0
412,Kyrgyzstan,Commonwealth of Independent States,98.0,5.00400018692017,0.596220076084137,0.553457796573639,0.454943388700485,0.0394391790032387,0.42858037352562,2017.0
413,Nepal,South Asia,99.0,4.96199989318848,0.479820191860199,0.504130780696869,0.440305948257446,0.0729755461215973,0.394096165895462,2017.0
414,Mongolia,East Asia,100.0,4.95499992370605,1.02723586559296,0.557783484458923,0.394143968820572,0.0329022891819477,0.338464230298996,2017.0
415,South Africa,Sub-Saharan Africa,101.0,4.8289999961853,1.05469870567322,0.187080070376396,0.479246735572815,0.0725094974040985,0.139362379908562,2017.0
416,Tunisia,Middle East and North Africa,102.0,4.80499982833862,1.00726580619812,0.613212049007416,0.289680689573288,0.0867231488227844,0.0496933571994305,2017.0
417,Palestinian Territories,Middle East and North Africa,103.0,4.77500009536743,0.716249227523804,0.565666973590851,0.25471106171608,0.0892826020717621,0.114173173904419,2017.0
418,Egypt,Middle East and North Africa,104.0,4.7350001335144,0.989701807498932,0.520187258720398,0.282110154628754,0.114381365478039,0.128631442785263,2017.0
419,Bulgaria,Central and Eastern Europe,105.0,4.71400022506714,1.1614590883255,0.708217680454254,0.289231717586517,0.0110515309497714,0.113177694380283,2017.0
420,Sierra Leone,Sub-Saharan Africa,106.0,4.70900011062622,0.36842092871666,0.0055647538974881,0.318697690963745,0.0710951760411263,0.293040901422501,2017.0
421,Cameroon,Sub-Saharan Africa,107.0,4.69500017166138,0.564305365085602,0.132892116904259,0.430388748645782,0.0513066314160824,0.236298456788063,2017.0
422,Iran,Middle East and North Africa,108.0,4.69199991226196,1.15687310695648,0.639333188533783,0.249322608113289,0.048761073499918,0.387242913246155,2017.0
423,Albania,Central and Eastern Europe,109.0,4.64400005340576,0.996192753314972,0.731159746646881,0.381498634815216,0.0398642159998417,0.201312944293022,2017.0
424,Bangladesh,South Asia,110.0,4.60799980163574,0.586682975292206,0.533241033554077,0.478356659412384,0.123717859387398,0.172255352139473,2017.0
425,Namibia,Sub-Saharan Africa,111.0,4.57399988174438,0.964434325695038,0.33861181139946,0.520303547382355,0.0931469723582268,0.0771337449550629,2017.0
426,Kenya,Sub-Saharan Africa,112.0,4.55299997329712,0.560479462146759,0.309988349676132,0.452763766050339,0.0646413192152977,0.444860309362411,2017.0
427,Mozambique,Sub-Saharan Africa,113.0,4.55000019073486,0.234305649995804,0.106654435396194,0.480791091918945,0.179436385631561,0.322228103876114,2017.0
428,Myanmar,Southeast Asia,114.0,4.54500007629395,0.367110550403595,0.397522568702698,0.514492034912109,0.188816204667091,0.838075160980225,2017.0
429,Senegal,Sub-Saharan Africa,115.0,4.53499984741211,0.479309022426605,0.409362852573395,0.377922266721725,0.115460447967052,0.183468893170357,2017.0
430,Zambia,Sub-Saharan Africa,116.0,4.51399993896484,0.636406779289246,0.257835894823074,0.461603492498398,0.0782135501503944,0.249580144882202,2017.0
431,Iraq,Middle East and North Africa,117.0,4.49700021743774,1.10271048545837,0.501180469989777,0.288555532693863,0.107215754687786,0.19963726401329,2017.0
432,Gabon,Sub-Saharan Africa,118.0,4.46500015258789,1.1982102394104,0.356578588485718,0.312328577041626,0.0760467872023582,0.0437853783369064,2017.0
433,Ethiopia,Sub-Saharan Africa,119.0,4.46000003814697,0.339233845472336,0.353409707546234,0.408842742443085,0.165455713868141,0.312650740146637,2017.0
434,Sri Lanka,South Asia,120.0,4.44000005722046,1.00985014438629,0.625130832195282,0.561213254928589,0.0736539661884308,0.490863561630249,2017.0
435,Armenia,Commonwealth of Independent States,121.0,4.37599992752075,0.900596737861633,0.637524425983429,0.198303267359734,0.0266744215041399,0.0834880918264389,2017.0
436,India,South Asia,122.0,4.31500005722046,0.792221248149872,0.455427616834641,0.469987004995346,0.0922268852591515,0.231538489460945,2017.0
437,Mauritania,Sub-Saharan Africa,123.0,4.29199981689453,0.648457288742065,0.285349279642105,0.0960980430245399,0.136957004666328,0.201870024204254,2017.0
438,Congo (Brazzaville),Sub-Saharan Africa,124.0,4.29099988937378,0.808964252471924,0.28995743393898,0.435025870800018,0.0796181336045265,0.120852127671242,2017.0
439,Georgia,Commonwealth of Independent States,125.0,4.28599977493286,0.950612664222717,0.649546980857849,0.309410035610199,0.251666635274887,0.0540088154375553,2017.0
440,Congo (Kinshasa),Sub-Saharan Africa,126.0,4.28000020980835,0.0921023488044739,0.191407024860382,0.235961347818375,0.0602413564920425,0.246455833315849,2017.0
441,Mali,Sub-Saharan Africa,127.0,4.19000005722046,0.476180493831635,0.169365674257278,0.306613743305206,0.104970246553421,0.183354198932648,2017.0
442,Ivory Coast,Sub-Saharan Africa,128.0,4.17999982833862,0.603048920631409,0.0486421696841717,0.447706192731857,0.130061775445938,0.201237469911575,2017.0
443,Cambodia,Southeast Asia,129.0,4.16800022125244,0.601765096187592,0.429783403873444,0.633375823497772,0.0681059509515762,0.385922968387604,2017.0
444,Sudan,Sub-Saharan Africa,130.0,4.13899993896484,0.65951669216156,0.290920823812485,0.0149958552792668,0.089847519993782,0.182317450642586,2017.0
445,Ghana,Sub-Saharan Africa,131.0,4.11999988555908,0.667224824428558,0.295637726783752,0.423026293516159,0.0253363698720932,0.256923943758011,2017.0
446,Ukraine,Commonwealth of Independent States,132.0,4.09600019454956,0.89465194940567,0.575903952121735,0.122974775731564,0.0230294708162546,0.270061463117599,2017.0
447,Uganda,Sub-Saharan Africa,133.0,4.08099985122681,0.381430715322495,0.217632606625557,0.443185955286026,0.057069718837738,0.325766056776047,2017.0
448,Burkina Faso,Sub-Saharan Africa,134.0,4.03200006484985,0.3502277135849,0.215844258666039,0.324367851018906,0.120328105986118,0.250864684581757,2017.0
449,Niger,Sub-Saharan Africa,135.0,4.02799987792969,0.161925330758095,0.26850500702858,0.36365869641304,0.138572946190834,0.228673845529556,2017.0
450,Malawi,Sub-Saharan Africa,136.0,3.97000002861023,0.233442038297653,0.315089583396912,0.466914653778076,0.0727116540074348,0.287170469760895,2017.0
451,Chad,Sub-Saharan Africa,137.0,3.93600010871887,0.438012987375259,0.0411347150802612,0.16234202682972,0.0535818822681904,0.216113850474358,2017.0
452,Zimbabwe,Sub-Saharan Africa,138.0,3.875,0.375846534967422,0.196763753890991,0.336384207010269,0.0953753814101219,0.189143493771553,2017.0
453,Lesotho,Sub-Saharan Africa,139.0,3.80800008773804,0.521021246910095,0.0,0.390661299228668,0.119094640016556,0.157497271895409,2017.0
